Hotel_ID,Quantity_Reservations,Total_Cost,City,Country,Search,Result
1000144,1,154.28,"Oakbrook Terrace, IL",United States,16795,5634
1000354,1,699.07,Dusseldorf,Germany,1860,590
1000479,8,1273.89,"Arlington, VA",United States,39158,21919
1000523,1,178.65,Antalya,Turkey,45732,12653
1000538,4,1037.09,Marseille,France,12284,7850
1000600,8,2218.61,Madrid,Spain,7265,1291
1000863,2,1178.82,Mallorca,Spain,17850,2488
1000888,4,4277.37,Istanbul,Turkey,38194,23071
1001193,1,1597.82,Interlaken,Switzerland,22962,6623
1001269,2,8561.52,Rhodes,Greece,48191,12433
1001346,46,16972.23,"New York, NY",United States,45131,12756
1001370,1,68.81,Agra,India,17023,2242
1001421,4,756.78,Lyon,France,42090,5624
1001678,4,1321.96,Rome,Italy,2685,686
1001721,18,14157.29,"Miami, FL",United States,1769,361
1001826,1,108.36,"Mount Pleasant, SC",United States,3433,1639
1001899,2,695.94,Phuket,Thailand,6311,1392
1001924,2,5168.81,Lisbon,Portugal,38819,16348
1002059,4,722.25,Dubai,United Arab Emirates,40188,16937
1002448,1,114.56,"Charlotte, NC",United States,18568,5550
1002451,1,281.26,Cancun,Mexico,20769,8277
1002554,1,1330.12,Zurich,Switzerland,29693,5739
1002688,2,18033.27,Palawan,Philippines,7396,1353
1002731,1,1328.26,Madeira,Portugal,28480,10471
1002819,1,42.0,"Albany, NY",United States,42434,6423
1002870,4,379.55,Berlin,Germany,26658,7818
1002943,1,267.05,Mallorca,Spain,19942,5878
1002946,1,364.3,"Miami, FL",United States,19431,2525
1003057,1,155.89,Baku,Azerbaijan,3747,1475
1003456,3,29211.63,Phuket,Thailand,1189,662
1003720,1,300.1,Lisbon,Portugal,20118,5071
1004011,2,482.37,Frankfurt,Germany,36773,15971
1004127,1,532.96,"Houston, TX",United States,2899,824
1004332,9,2493.29,"Orlando, FL",United States,2267,441
1004538,2,4311.34,Rhodes,Greece,32551,4332
1004543,1,122.0,Paris,France,12394,2086
1004662,1,243.88,Mallorca,Spain,4556,2547
1004709,3,647.38,Brussels,Belgium,4890,1728
1004885,2,1256.96,"New York, NY",United States,42606,15958
1004903,5,4626.78,Zurich,Switzerland,31740,15488
1005131,2,116.34,Haute-Garonne,France,15502,3962
1005240,2,197.48,Schwaig-Oberding,Germany,22777,2649
1005267,4,2268.13,Paris,France,11627,1406
1005287,1,550.7,Sharm El Sheikh,Egypt,9792,2655
